(-2672.357238020235, -6561.8015228717095, 843.0212719707465)
(-2673.730293319581, -6562.194992025896, 835.6807892486136)
(-2675.100411831989, -6562.581252043863, 828.339382800091)
(-2676.467591451219, -6562.96030235232, 820.9970639810027)
(-2677.8318300803962, -6563.332142398532, 813.6538441489503)
(-2679.193127144447, -6563.696772051923, 806.309726494716)
(-2680.5514811558587, -6564.054190935263, 798.9647191115085)
(-2681.906890030464, -6564.40439852443, 791.6188333595419)
(-2683.259352291262, -6564.747394467879, 784.272077335044)
(-2684.6088670662575, -6565.0831785692435, 776.9244558643527)
(-2685.9554325837594, -6565.4117504105225, 769.575978677347)
(-2687.2990476744267, -6565.733109729719, 762.2266522364134)
(-2688.6397096792953, -6566.047255921325, 754.8764911801019)
(-2689.9774186300883, -6566.354189020193, 747.5254954320034)
(-2691.312173065416, -6566.65390870792, 740.1736730903925)
(-2692.6439700449437, -6566.946414353608, 732.8210404348)
(-2693.972809307044, -6567.231705928882, 725.4675990227287)
(-2695.2986888105115, -6567.509783022865, 718.1133602296846)
(-2696.6216079959227, -6567.780645541689, 710.7583272495809)
(-2697.9415645370195, -6568.044293033974, 703.4025130951756)
(-2699.2585572906605, -6568.300725300144, 696.0459242349533)
(-2700.5725848215984, -6568.549942087849, 688.6885687748643)
(-2701.8836456992353, -6568.7919431523205, 681.3304548204424)
(-2703.1917382044116, -6569.026728205798, 673.9715921160895)
(-2704.496861784332, -6569.254297174071, 666.6119838586247)
(-2705.7990138552473, -6569.474649634546, 659.251644705788)
(-2707.0981938694604, -6569.687785524106, 651.8905778550028)
(-2708.3944004113973, -6569.893704633135, 644.528791414736)
(-2709.6876312030845, -6570.0924066310545, 637.1662984108646)
(-2710.9778862757394, -6570.283891547436, 629.8030987642819)
(-2712.265162213938, -6570.468158907029, 622.4392120547384)
(-2713.549459623845, -6570.645208826091, 615.074634927175)
(-2714.8307756760005, -6570.8150409416285, 607.7093836874974)
(-2716.1091104007974, -6570.977655283462, 600.3434582571036)
(-2717.3844601322776, -6571.133051419329, 592.9768798605745)
(-2718.656826038082, -6571.281229521954, 585.6096418647035)
(-2719.9262055961653, -6571.422189318019, 578.2417589409314)
(-2721.192597143137, -6571.555930654574, 570.8732408457449)
(-2722.4559993026287, -6571.682453420334, 563.5040956972534)
(-2723.716411262389, -6571.801757563268, 556.1343283347813)
(-2724.9738316487305, -6571.913842978504, 548.7639468768634)
(-2726.22825825416, -6572.018709501976, 541.3929643625798)
(-2727.4796908312023, -6572.1163571425095, 534.0213823524601)
(-2728.7281269033315, -6572.206785737711, 526.6492155274208)
(-2729.973565946914, -6572.289995282162, 519.2764670888885)
(-2731.216006329916, -6572.36598569469, 511.90314679767056)
(-2732.4554466993736, -6572.4347569238225, 504.5292627774588)
(-2733.69188543283, -6572.496308912589, 497.15482479122096)
(-2734.925322283529, -6572.550641675065, 489.77983440067413)
(-2736.1557545366395, -6572.597755120711, 482.404307932554)
(-2737.3831811305245, -6572.637649247441, 475.02825187153854)
(-2738.6076015494123, -6572.670324067317, 467.6516694195018)
(-2739.8290133709415, -6572.6957795479775, 460.2745752667417)
(-2741.0474163550584, -6572.714015715827, 452.89697097438034)
(-2742.2628080919167, -6572.725032567257, 445.5188712342007)
(-2743.475188341077, -6572.728830132483, 438.14027760900416)
(-2744.68455470695, -6572.725408436025, 430.76120479042555)
(-2745.890906682096, -6572.71476751458, 423.38165598319443)
(-2747.0942424186414, -6572.696907417195, 416.00164259869223)
(-2748.2945616772877, -6572.671828175516, 408.62116619912314)
(-2749.4918612842876, -6572.639529891809, 401.2402464070159)
(-2750.6861415399594, -6572.600012595619, 393.85888150020725)
(-2751.8774008773453, -6572.553276365091, 386.47708125076196)
(-2753.065637471235, -6572.499321305735, 379.09485707398585)
(-2754.250850296103, -6572.438147500334, 371.7122154587017)
(-2755.4330378015957, -6572.369755065375, 364.32916617862423)
(-2756.612199752744, -6572.294144043862, 356.94571079657356)
(-2757.7883332952915, -6572.211314653057, 349.56186729845206)
(-2758.961438199658, -6572.121266948791, 342.1776372476509)
(-2760.1315126698337, -6572.024001103649, 334.79303206201433)
(-2761.298556214408, -6571.9195171910305, 327.4080549470763)
(-2762.4625667867385, -6571.807815426621, 320.0227189638096)
(-2763.6235433811835, -6571.688895945163, 312.637030604781)
(-2764.781484223104, -6571.562758968811, 305.25100128963516)
(-2765.9363896001328, -6571.429404496471, 297.8646292935707)
(-2767.0882564565586, -6571.288832915001, 290.4779342546629)
(-2768.2370843149183, -6571.141044325979, 283.09091937777146)
(-2769.382872181534, -6570.986038891241, 275.7035911559522)
(-2770.525618557632, -6570.823816847244, 268.3159593671324)
(-2771.6653224558413, -6570.654378368309, 260.9280305039694)
(-2772.8019818789676, -6570.4777237909175, 253.53981763340923)
(-2773.935596604753, -6570.29385318669, 246.15132231813234)
(-2775.066164394644, -6570.1027669558935, 238.7625592684394)
(-2776.193684776516, -6569.904465218531, 231.37353169134101)
(-2777.3181565261557, -6569.698948222137, 223.9842477225752)
(-2778.439577922097, -6569.486216319448, 216.59471878784254)
(-2779.5579479984754, -6569.26626973428, 209.20495138069805)
(-2780.6732650462504, -6569.0391088463, 201.81495692678033)
(-2781.7855290953844, -6568.804733685189, 194.42473534441186)
(-2782.8947381943835, -6568.563144692933, 187.0342997027862)
(-2784.0008906476583, -6568.314342283204, 179.64366142911436)
(-2785.1039859961566, -6568.058326600728, 172.2528237285891)
(-2786.204022796034, -6567.795098017475, 164.86179638476352)
(-2787.3010000989048, -6567.5246567971535, 157.4705858914381)
(-2788.3949162261915, -6567.2470033934715, 150.0792036765753)
(-2789.485769752129, -6566.96213821619, 142.68765952286174)
(-2790.573560949589, -6566.670061228645, 135.29595170263167)
(-2791.658287183475, -6566.370773173642, 127.90409822196473)
(-2792.739947763748, -6566.064274287416, 120.5121039305901)
(-2793.818541276832, -6565.750565014218, 113.11997861355172)
(-2794.8940670356205, -6565.429645594695, 105.72772711969608)
(-2795.966523633545, -6565.101516487165, 98.33535923337405)
(-2797.0359099089483, -6564.766178088472, 90.9428830935481)
(-2798.1022244651103, -6564.423630881142, 83.5503084851735)
(-2799.1654668587717, -6564.073875046616, 76.15763861311962)
(-2800.2256352261193, -6563.716911237528, 68.76488655142626)
(-2801.2827284216664, -6563.352739887371, 61.372060438829344)
(-2802.3367460058407, -6562.9813611873415, 53.97916348046432)
(-2803.38768636418, -6562.602775743699, 46.58620710654148)
